Name;Player ID
Alejandro Moro Cañaas;sr:competitor:325737
Juan Carlos Prado Angelo;sr:competitor:834054
Dimitar Kuzmanov;sr:competitor:51009
Filip Cristian Jianu;sr:competitor:279295
Norbert Gombos;sr:competitor:50139
Duje Ajdukovic;sr:competitor:226132
Frederico Ferreira Silva;sr:competitor:66484
Nicolás Álvarez Varona;sr:competitor:224024
Saba Purtseladze;sr:competitor:350752
Khumoyun Sultonov;sr:competitor:149100
Christoph Negritu;sr:competitor:55745
Yan (1989) Bai;sr:competitor:25683
Matteo Martineau;sr:competitor:145122
Patrick Zahraj;sr:competitor:229024
Tung-Lin Wu;sr:competitor:163996
Marko Topo;sr:competitor:720613
Facundo Mena;sr:competitor:38180
Lautaro Midon;sr:competitor:847592
Andres Martin;sr:competitor:603420
Giulio Zeppieri;sr:competitor:298122
Mili Poljicak;sr:competitor:686911
Arthur Gea;sr:competitor:801374
Matheus Pucinelli de Almeida;sr:competitor:373348
Karue Sell;sr:competitor:52057
Carlos Sánchez Jover;sr:competitor:205773
Max Houkes;sr:competitor:414501
Albert Ramos-Viñolas;sr:competitor:16822
Murkel Alejandro Dellien Velasco;sr:competitor:82133
Aidan Mayo;sr:competitor:540271
Eliakim Coulibaly;sr:competitor:603820
Marco Cecchinato;sr:competitor:44549
Daniel Rincón;sr:competitor:530317
Adriá Soriano Barrera;sr:competitor:228372
Jie Cui;sr:competitor:215492
Gonçalo Oliveira;sr:competitor:57759
Jakub Paul;sr:competitor:243522
Mika Brunold;sr:competitor:745797
Gonzalo Bueno;sr:competitor:506300
Tiago Pereira;sr:competitor:880089
Daniel Michalski;sr:competitor:345576
Hynek Barton;sr:competitor:763106
Lorenzo Giustino;sr:competitor:48626
Gustavo Heide;sr:competitor:515510
Genaro Alberto Olivieri;sr:competitor:169486
Tyler Zink;sr:competitor:373852
Nikolás Sánchez-Izquierdo;sr:competitor:199196
Antoine Escoffier;sr:competitor:49663
Michael Geerts;sr:competitor:103625
Timofey Skatov;sr:competitor:276685
Max Hans Rehberg;sr:competitor:508498
Sumit Nagal;sr:competitor:131566
Andrea Vavassori;sr:competitor:95801
Corentin Denolly;sr:competitor:126402
Radu Albot;sr:competitor:44547
Alexander Ritschard;sr:competitor:56017
Moez Echargui;sr:competitor:153826
Juan Pablo Varillas Patiño-Samudio;sr:competitor:72248
Alex Rybakov;sr:competitor:101157
Oleg Prihodko;sr:competitor:152864
Gastao Elias;sr:competitor:15858
Juan Bautista Torres;sr:competitor:574371
Arthur Fery;sr:competitor:603098
Jacopo Berrettini;sr:competitor:221538
Stefanos Sakellaridis;sr:competitor:515478
Patrick Maloney;sr:competitor:328985
Gijs Brouwer;sr:competitor:104967
Michael Mmoh;sr:competitor:131442
Renzo Olivo;sr:competitor:55787
Denis Yevseyev;sr:competitor:50847
Robin Bertrand;sr:competitor:679699
Yi Zhou;sr:competitor:947875
Roberto Cid;sr:competitor:51309
Jelle Sels;sr:competitor:56361
Moerani Bouzige;sr:competitor:310968
Philip Henning;sr:competitor:299818
Nicolas Kicker;sr:competitor:66086
Robert Strombachs;sr:competitor:369630
Alexey Vatutin;sr:competitor:52462
Blake Ellis;sr:competitor:119140
Andrej Martin;sr:competitor:24415
Alex Martí Pujolrás;sr:competitor:251025
Dan Added;sr:competitor:195458
Federico Arnaboldi;sr:competitor:265559
Luka Mikrut;sr:competitor:722431
Tom Paris;sr:competitor:655825
Daniel Dutra da Silva;sr:competitor:48225
Garrett Johns;sr:competitor:303862
Govind Nanda;sr:competitor:224936
Oriol Roca Batalla;sr:competitor:51100
Luciano Emanuel Ambrogi;sr:competitor:652290
